2026-03-13 01:32:52.475 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:13ms 获取用户上传文件成功
2026-03-13 01:32:56.532 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 01:32:56.565 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 01:32:56.695 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:25ms 获取用户上传文件成功
2026-03-13 01:35:22.947 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:17ms 获取用户上传文件成功
2026-03-13 01:35:56.841 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:35:56.874 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:35:56.988 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:22ms 获取用户上传文件成功
2026-03-13 01:36:32.785 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:72ms 登录成功
2026-03-13 01:36:32.809 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:36:32.841 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:36:33.219 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:29ms 获取对话历史成功
2026-03-13 01:36:35.640 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:36:36.405 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:12ms 获取用户上传文件成功
2026-03-13 01:37:21.366 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:21ms 文档编辑成功
2026-03-13 01:37:21.713 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:11ms 获取用户上传文件成功
2026-03-13 01:37:24.440 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:37:24.482 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
